========== Nodal Displacements ==========
Units: mm (U, V), rad (θ)

Element 1
  Node 1              0       3.5558            0
  Node 4         4.6404       3.5558   -0.0014046

Element 2
  Node 2              0            0   -0.0014328
  Node 5         4.6202        0.124  -0.00059962

Element 3
  Node 3              0            0            0
  Node 6         4.5672     -0.17162   -0.0009372

Element 4
  Node 4         4.6404       3.5558   -0.0014046
  Node 5         4.6202        0.124  -0.00059962

Element 5
  Node 5         4.6202        0.124  -0.00059962
  Node 6         4.5672     -0.17162   -0.0009372

Element 6
  Node 4         4.6404       3.5558   -0.0014046
  Node 7         8.7113       3.5341   -0.0007147

Element 7
  Node 5         4.6202        0.124  -0.00059962
  Node 8         8.6097      0.16545  -0.00068126

Element 8
  Node 6         4.5672     -0.17162   -0.0009372
  Node 9         8.5618     -0.23906  -0.00042021

Element 9
  Node 7         8.7113       3.5341   -0.0007147
  Node 8         8.6097      0.16545  -0.00068126

Element 10
  Node 8         8.6097      0.16545  -0.00068126
  Node 9         8.5618     -0.23906  -0.00042021


========== Reaction Forces ==========
Units: KN, KN·m

Node   (X, Y) [mm]           Fx (KN)    Fy (KN)     M (KN·m)
--------------------------------------------------------------
 1    (   0.0,    0.0)       -72.102      0.000    217.948
 2    (4000.0,    0.0)       -21.870   -130.198      0.000
 3    (8000.0,    0.0)      -106.029    380.198    261.260

========== Element Internal Forces & Displacement ==========
Units: Position (m), BM (KN·m), SF (KN), Disp (mm)

Element 1 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           0.000           -217.94751      72.10179        0.00000         0.00000        
0.400           0.000           -189.10680      72.10179        0.07937         0.00000        
0.800           0.000           -160.26608      72.10179        0.30281         0.00000        
1.200           0.000           -131.42537      72.10179        0.64837         0.00000        
1.600           0.000           -102.58465      72.10179        1.09405         0.00000        
2.000           0.000           -73.74394       72.10179        1.61790         0.00000        
2.400           0.000           -44.90322       72.10179        2.19793         0.00000        
2.800           0.000           -16.06251       72.10179        2.81218         0.00000        
3.200           0.000           12.77821        72.10179        3.43866         0.00000        
3.600           0.000           41.61892        72.10179        4.05541         0.00000        
4.000           0.000           70.45964        72.10179        4.64045         0.00000        

Element 2 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           130.198         -0.00000        21.86964        0.00000         0.00000        
0.400           130.198         8.74786         21.86964        0.57199         0.01240        
0.800           130.198         17.49571        21.86964        1.13732         0.02480        
