========== Nodal Displacements ==========
Units: mm (U, V), rad (θ)

Element 1
  Node 1              0            0            0
  Node 4         1.9502     0.028324  -0.00051911

Element 2
  Node 2         2.4022            0   0.00012997
  Node 5         1.8823    -0.039105   0.00012997

Element 3
  Node 3              0            0            0
  Node 6         1.8459    -0.036839  -0.00036306

Element 4
  Node 4         1.9502     0.028324  -0.00051911
  Node 5         1.8823    -0.039105   0.00012997

Element 5
  Node 5         1.8823    -0.039105   0.00012997
  Node 6         1.8459    -0.036839  -0.00036306

Element 6
  Node 4         1.9502     0.028324  -0.00051911
  Node 7         2.8557     0.029991   0.00015746

Element 7
  Node 5         1.8823    -0.039105   0.00012997
  Node 8         2.7673    -0.069119  -0.00022924

Element 8
  Node 6         1.8459    -0.036839  -0.00036306
  Node 9         2.7618    -0.056111  -2.1212e-05

Element 9
  Node 7         2.8557     0.029991   0.00015746
  Node 8         2.7673    -0.069119  -0.00022924

Element 10
  Node 8         2.7673    -0.069119  -0.00022924
  Node 9         2.7618    -0.056111  -2.1212e-05


========== Reaction Forces ==========
Units: KN, KN·m

Node   (X, Y) [mm]           Fx (KN)    Fy (KN)     M (KN·m)
--------------------------------------------------------------
 1    (   0.0,    0.0)       -35.910    -29.741     99.073
 2    (4000.0,    0.0)         0.000     41.060      0.000
 3    (8000.0,    0.0)       -44.090    238.681    107.242

========== Element Internal Forces & Displacement ==========
Units: Position (m), BM (KN·m), SF (KN), Disp (mm)

Element 1 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           29.741          -99.07260       35.90956        0.00000         0.00000        
0.400           29.741          -84.70878       35.90956        0.03592         0.00283        
0.800           29.741          -70.34495       35.90956        0.13638         0.00566        
1.200           29.741          -55.98113       35.90956        0.29043         0.00850        
1.600           29.741          -41.61731       35.90956        0.48714         0.01133        
2.000           29.741          -27.25348       35.90956        0.71555         0.01416        
2.400           29.741          -12.88966       35.90956        0.96473         0.01699        
2.800           29.741          1.47417         35.90956        1.22373         0.01983        
3.200           29.741          15.83799        35.90956        1.48161         0.02266        
3.600           29.741          30.20182        35.90956        1.72742         0.02549        
4.000           29.741          44.56564        35.90956        1.95022         0.02832        

Element 2 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -41.060         0.00000         0.00000         2.40221         0.00000        
0.400           -41.060         0.00000         0.00000         2.35023         -0.00391       
0.800           -41.060         0.00000         0.00000         2.29824         -0.00782       
1.200           -41.060         0.00000         0.00000         2.24625         -0.01173       
1.600           -41.060         0.00000         0.00000         2.19427         -0.01564       
2.000           -41.060         0.00000         0.00000         2.14228         -0.01955       
2.400           -41.060         0.00000         0.00000         2.09029         -0.02346       
2.800           -41.060         0.00000         0.00000         2.03831         -0.02737       
3.200           -41.060         0.00000         0.00000         1.98632         -0.03128       
3.600           -41.060         0.00000         0.00000         1.93433         -0.03519       
4.000           -41.060         0.00000         0.00000         1.88235         -0.03910       

Element 3 (Length: 4.000 m)
Position (m)    AF (KN)         BM (KN·m)       SF (KN)         X Disp (mm)     Y Disp (mm)    
0.000           -38.681         -107.24163      44.09044        0.00000         0.00000        
0.400           -38.681         -89.60545       44.09044        0.03861         -0.00368       
0.800           -38.681         -71.96928       44.09044        0.14550         -0.00737       
1.200           -38.681         -54.33310       44.09044        0.30722         -0.01105       
1.600           -38.681         -36.69693       44.09044        0.51033         -0.01474       
2.000           -38.681         -19.06075       44.09044        0.74141         -0.01842       
2.400           -38.681         -1.42457        44.09044        0.98701         -0.02210       
